mcode,mname,returns,exempts
27060,"Ithaca, NY",108,103
39340,"Provo-Orem, UT",57,99
31540,"Madison, WI",88,97
44300,"State College, PA",58,78
11460,"Ann Arbor, MI",62,67
45060,"Syracuse, NY",116,55
17980,"Columbus, GA-AL",16,43
27340,"Jacksonville, NC",18,38
23060,"Fort Wayne, IN",26,35
43900,"Spartanburg, SC",20,33
45700,"Tifton, GA",33,33
29200,"Lafayette-West Lafayette, IN",19,30
25180,"Hagerstown-Martinsburg, MD-WV",21,29
48620,"Wichita, KS",19,27
48700,"Williamsport, PA",22,27
10500,"Albany, GA",23,24
28020,"Kalamazoo-Portage, MI",20,23
30700,"Lincoln, NE",22,23
38460,"Plattsburgh, NY",22,23
41180,"St. Louis, MO-IL",48,22
15940,"Canton-Massillon, OH",16,21
12300,"Augusta-Waterville, ME",15,20
19430,"Dayton-Kettering, OH",19,20
30100,"Lebanon, NH-VT",31,19
12220,"Auburn-Opelika, AL",12,18
30860,"Logan, UT-ID",10,18
10740,"Albuquerque, NM",18,17
25060,"Gulfport-Biloxi, MS",11,17
14580,"Bozeman, MT",10,16
46220,"Tuscaloosa, AL",13,16
14740,"Bremerton-Silverdale-Port Orchard, WA",13,15
16860,"Chattanooga, TN-GA",5,15
17860,"Columbia, MO",19,15
12180,"Auburn, NY",13,14
16620,"Charleston, WV",11,14
27140,"Jackson, MS",11,14
47300,"Visalia, CA",10,14
16820,"Charlottesville, VA",25,12
11260,"Anchorage, AK",1,11
20780,"Edwards, CO",12,11
30620,"Lima, OH",10,10
17140,"Cincinnati, OH-KY-IN",31,9
31420,"Macon-Bibb County, GA",6,9
44700,"Stockton, CA",11,9
46140,"Tulsa, OK",11,8
43780,"South Bend-Mishawaka, IN-MI",9,7
22660,"Fort Collins, CO",7,6
21660,"Eugene-Springfield, OR",3,5
12540,"Bakersfield, CA",5,4
17780,"College Station-Bryan, TX",2,4
23540,"Gainesville, FL",7,3
35980,"Norwich-New London, CT",27,3
36500,"Olympia-Lacey-Tumwater, WA",2,3
42020,"San Luis Obispo-Paso Robles, CA",8,3
45780,"Toledo, OH",8,3
18580,"Corpus Christi, TX",3,2
21820,"Fairbanks, AK",1,2
29940,"Lawrence, KS",3,2
26620,"Huntsville, AL",2,1
27980,"Kahului-Wailuku-Lahaina, HI",1,1
24060,"Glenwood Springs, CO",-1,0
29620,"Lansing-East Lansing, MI",10,0
33860,"Montgomery, AL",-4,0
18880,"Crestview-Fort Walton Beach-Destin, FL",12,-1
27460,"Jamestown-Dunkirk-Fredonia, NY",1,-1
12940,"Baton Rouge, LA",1,-2
44060,"Spokane-Spokane Valley, WA",-1,-2
44940,"Sumter, SC",-2,-2
19780,"Des Moines-West Des Moines, IA",4,-3
28300,"Keene, NH",-2,-3
28940,"Knoxville, TN",2,-4
13540,"Bennington, VT",0,-5
45220,"Tallahassee, FL",10,-5
18500,"Corning, NY",1,-6
25900,"Hilo, HI",-2,-6
30780,"Little Rock-North Little Rock-Conway, AR",2,-6
33660,"Mobile, AL",-10,-6
33700,"Modesto, CA",0,-7
